brand,model,generation,year,fuel_type,transmission,engine_cc,horsepower,top_speed,weight,fuel_consumption,price_eur,scraped_at,price_usd
Land Rover,Range Rover,Land Rover Range Rover P530 Autobiography,2022,Petrol,Automatic,4395.0,530.0,250.0,2585.0,11.6,274666,2026-07-02 12:00:22,321359.22
Porsche,911,Porsche 911 Targa 4 GTS edition 50 years Porsche design,2020,Petrol,Automatic,3996.0,480.0,307.0,1660.0,11.0,274683,2026-07-02 12:00:21,321379.11
Aston Martin,Db11,Aston Martin DB11 5.2 V12 Coupé,2016,Petrol,Automatic,5204.0,608.0,322.0,1770.0,11.4,274914,2026-07-02 12:00:17,321649.38
Aston Martin,Db11,Aston Martin DB11 4.0 V8 Volante,2018,Petrol,Automatic,5204.0,510.0,300.0,1870.0,10.0,275629,2026-07-02 12:00:09,322485.93
Ferrari,Portofino,Ferrari Portofino M,2021,Hybrid,Automatic,3855.0,600.0,320.0,1545.0,11.3,275754,2026-07-02 12:00:07,322632.18
Porsche,Panamera,Porsche Panamera Turbo S Sport Turismo,2020,Petrol,Automatic,2894.0,630.0,315.0,2110.0,13.0,277723,2026-07-02 11:59:56,324935.91
Mercedes-Benz,Amg Gt 4 Door,Mercedes-Benz AMG GT 4-Door AMG GT 63 S 4MATIC+,2018,Petrol,Automatic,3982.0,639.0,315.0,1935.0,13.0,277921,2026-07-02 11:59:54,325167.57
Ferrari,Roma,Ferrari Roma Roma,2020,Hybrid,Automatic,3855.0,620.0,320.0,1570.0,10.7,278285,2026-07-02 11:59:52,325593.45
Land Rover,Range Rover,Land Rover Range Rover 4.4 SDV8 SVAutobiography LWB,2017,Diesel,Automatic,4367.0,339.0,217.0,2658.0,9.2,278745,2026-07-02 11:59:48,326131.65
Porsche,718,Porsche 718 Cayman GT4 RS,2016,Petrol,Automatic,3996.0,500.0,315.0,1390.0,13.2,263168,2026-07-02 12:01:48,307906.56
BMW,8 Series,BMW 8-Series M8 Competition Cabrio,2022,Petrol,Automatic,4395.0,625.0,250.0,2000.0,10.6,264303,2026-07-02 12:01:43,309234.51
McLaren,570S,McLaren 570S Spider,2017,Petrol,Automatic,3799.0,570.0,328.0,1359.0,11.0,264500,2026-07-02 12:01:40,309465.0
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV,2022,Petrol,Automatic,4395.0,635.0,290.0,2460.0,11.9,264626,2026-07-02 12:01:38,309612.42
Audi,Q8,Audi Q8 RS Q8 TFSI quattro performance,2024,Petrol,Automatic,3996.0,640.0,250.0,2250.0,13.1,265430,2026-07-02 12:01:34,310553.1
Mercedes-Benz,Sl,Mercedes-Benz SL 55 AMG 4MATIC+ Night Edition,2022,Petrol,Automatic,3982.0,476.0,295.0,1850.0,13.4,266449,2026-07-02 12:01:29,311745.33
Maserati,Levante,Maserati Levante 3.8 V8 Trofeo,2021,Petrol,Automatic,3799.0,580.0,302.0,2070.0,15.9,266743,2026-07-02 12:01:27,312089.31
Lamborghini,Huracan,Lamborghini Huracán Spyder LP580-2,2016,Petrol,Automatic,5204.0,580.0,319.0,1509.0,12.1,266790,2026-07-02 12:01:25,312144.3
Land Rover,Range Rover,Land Rover Range Rover 5.0 V8 Supercharged SVAutobiography,2017,Petrol,Automatic,5000.0,565.0,225.0,2497.0,13.1,268931,2026-07-02 12:01:18,314649.27
Land Rover,Range Rover,Land Rover Range Rover D350 SVAutobiography LWB,2017,Diesel,Automatic,2997.0,350.0,225.0,2518.0,9.3,269196,2026-07-02 12:01:15,314959.32
Maserati,Ghibli,Maserati Ghibli 3.8 V8 334,2021,Petrol,Automatic,3799.0,580.0,334.0,1960.0,12.3,269306,2026-07-02 12:01:13,315088.02
Mercedes-Benz,Sl,Mercedes-Benz SL 55 AMG 4MATIC+,2022,Petrol,Automatic,3982.0,476.0,295.0,1850.0,12.9,269408,2026-07-02 12:01:11,315207.36
Porsche,Panamera,Porsche Panamera Turbo S,2020,Petrol,Automatic,2894.0,630.0,315.0,2055.0,12.8,270623,2026-07-02 12:00:49,316628.91
Porsche,911,Porsche 911 Carrera 4 GTS Cabriolet,2024,Petrol,Automatic,3996.0,485.0,312.0,1700.0,10.7,270678,2026-07-02 12:00:47,316693.26
Porsche,911,Porsche 911 Targa 4 GTS,2024,Petrol,Automatic,3996.0,485.0,312.0,1720.0,10.8,270678,2026-07-02 12:00:44,316693.26
Mercedes-Benz,Gle,Mercedes-Benz GLE 63 AMG S 4MATIC+ Coupé,2023,Petrol,Automatic,3982.0,612.0,280.0,2405.0,12.5,255724,2026-07-02 12:02:42,299197.08
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 600 Long,2017,Petrol,Automatic,2999.0,530.0,250.0,2135.0,14.0,256354,2026-07-02 12:02:36,299934.18
Porsche,718,Porsche 718 Boxster Spyder RS,2016,Petrol,Automatic,3996.0,500.0,308.0,1385.0,13.0,257286,2026-07-02 12:02:27,301024.62
Aston Martin,Db11,Aston Martin DB11 4.0 V8 Coupé,2016,Petrol,Automatic,5204.0,510.0,300.0,1770.0,10.0,257304,2026-07-02 12:02:26,301045.68
Bentley,Continental,Bentley Continental GT,2024,Hybrid,Automatic,3996.0,519.0,270.0,2350.0,8.9,257371,2026-07-02 12:02:24,301124.07
Maserati,Quattroporte,Maserati Quattroporte 3.8 V8 Trofeo,2021,Petrol,Automatic,3799.0,580.0,326.0,2000.0,12.2,259988,2026-07-02 12:02:07,304185.96
Porsche,911,Porsche 911 Carrera Turbo S Cabriolet,2015,Petrol,Automatic,3996.0,580.0,330.0,1645.0,9.3,260528,2026-07-02 12:02:04,304817.76
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 63 AMG 4MATIC Cabriolet,2018,Petrol,Automatic,2999.0,612.0,250.0,2085.0,11.5,261347,2026-07-02 12:02:02,305775.99
Land Rover,Range Rover,Land Rover Range Rover D350 SV,2022,Petrol,Automatic,2997.0,350.0,234.0,2505.0,7.9,261669,2026-07-02 12:02:01,306152.73
Porsche,911,Porsche 911 Carrera GTS Cabriolet,2024,Petrol,Automatic,3996.0,485.0,312.0,1650.0,10.7,261678,2026-07-02 12:01:59,306163.26
Mercedes-Benz,S Class,Mercedes-Benz S-Class Maybach S 580 4MATIC,2021,Petrol,Automatic,2999.0,503.0,250.0,2140.0,10.4,262555,2026-07-02 12:01:57,307189.35
Land Rover,Range Rover,Land Rover Range Rover D300 SVAutobiography LWB,2017,Diesel,Automatic,2997.0,300.0,209.0,2518.0,9.3,263094,2026-07-02 12:01:52,307819.98
BMW,8 Series,BMW 8-Series M8 Competition Gran Coupé,2022,Petrol,Automatic,4395.0,625.0,250.0,1970.0,10.7,250872,2026-07-02 12:03:30,293520.24
Maserati,Grancabrio,Maserati GranCabrio MC,2018,Petrol,Automatic,4691.0,460.0,291.0,1873.0,14.5,250968,2026-07-02 12:03:27,293632.56
McLaren,Gt,McLaren GT GT,2020,Petrol,Automatic,3994.0,620.0,326.0,1466.0,11.9,252065,2026-07-02 12:03:21,294916.05
BMW,8 Series,BMW 8-Series M8 Competition Coupé,2022,Petrol,Automatic,4395.0,625.0,250.0,1875.0,10.5,252230,2026-07-02 12:03:17,295109.1
Land Rover,Range Rover,Land Rover Range Rover 3.0 SDV6 SVAutobiography LWB,2017,Diesel,Automatic,2993.0,275.0,209.0,2249.0,7.6,252325,2026-07-02 12:03:12,295220.25
Porsche,911,Porsche 911 Carrera 4 GTS Coupé,2024,Petrol,Automatic,3996.0,485.0,312.0,1620.0,10.5,252789,2026-07-02 12:03:07,295763.13
Audi,R8,Audi R8 Spyder V10 quattro,2016,Petrol,Automatic,5204.0,540.0,318.0,1695.0,11.7,252810,2026-07-02 12:03:04,295787.7
Land Rover,Range Rover,Land Rover Range Rover P530 HSE,2022,Petrol,Automatic,4395.0,530.0,250.0,2585.0,11.4,253714,2026-07-02 12:02:57,296845.38
Maserati,Granturismo,Maserati GranTurismo Trofeo,2023,Petrol,Automatic,3000.0,550.0,320.0,1795.0,10.2,254400,2026-07-02 12:02:53,297648.0
Mercedes-Benz,Gls,Mercedes-Benz GLS Maybach GLS 600 4MATIC,2019,Petrol,Automatic,3982.0,557.0,250.0,2685.0,13.1,254525,2026-07-02 12:02:51,297794.25
Porsche,Panamera,Porsche Panamera GTS,2023,Petrol,Automatic,2894.0,500.0,302.0,2040.0,12.0,254810,2026-07-02 12:02:49,298127.7
Ferrari,Portofino,Ferrari Portofino 3.8 T,2018,Petrol,Automatic,3855.0,600.0,320.0,1545.0,10.7,244737,2026-07-02 12:04:19,286342.29
Mercedes-Benz,Gls,Mercedes-Benz GLS 63 AMG 4MATIC+,2019,Petrol,Automatic,3982.0,612.0,250.0,2530.0,11.9,244934,2026-07-02 12:04:17,286572.78
Porsche,911,Porsche 911 Turbo S Coupé,2015,Petrol,Automatic,3996.0,580.0,330.0,1575.0,9.1,245328,2026-07-02 12:04:15,287033.76
BMW,8 Series,BMW 8-Series M8 Cabrio,2022,Petrol,Automatic,4395.0,600.0,250.0,2000.0,10.6,246153,2026-07-02 12:04:12,287999.01
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 63 AMG 4MATIC Cabriolet,2016,Petrol,Automatic,2999.0,585.0,250.0,2085.0,10.4,246553,2026-07-02 12:04:10,288467.01
BMW,X5,BMW X5 M Competition,2023,Petrol,Automatic,4395.0,625.0,250.0,2375.0,12.9,247607,2026-07-02 12:04:05,289700.19
Mercedes-Benz,Gle,Mercedes-Benz GLE 63 AMG S 4MATIC+,2023,Petrol,Automatic,3982.0,612.0,280.0,2395.0,12.5,248101,2026-07-02 12:04:03,290278.17
Bentley,Bentayga,Bentley Bentayga V8,2016,Petrol,Automatic,3996.0,550.0,290.0,2288.0,9.0,232776,2026-07-02 12:06:43,272347.92
Porsche,911,Porsche 911 GT3 Coupé Touring Package,2015,Petrol,Automatic,3996.0,500.0,316.0,1413.0,13.3,232940,2026-07-02 12:06:40,272539.8
Maserati,Levante,Maserati Levante 3.8 V8 GTS,2021,Petrol,Automatic,3799.0,530.0,292.0,2070.0,15.8,233550,2026-07-02 12:06:33,273253.5
BMW,8 Series,BMW 8-Series M8 Coupé,2022,Petrol,Automatic,4395.0,600.0,250.0,1875.0,10.5,234080,2026-07-02 12:06:26,273873.6
Porsche,Cayenne,Porsche Cayenne GTS,2023,Petrol,Automatic,2995.0,500.0,275.0,2165.0,12.6,234210,2026-07-02 12:06:24,274025.7
Audi,R8,Audi R8 Coupé V10 RWD,2016,Petrol,Automatic,5204.0,540.0,320.0,1565.0,12.4,234614,2026-07-02 12:06:16,274498.38
Rolls-Royce,Cullinan,Rolls-Royce Cullinan Black Badge,2019,Petrol,Automatic,6749.0,600.0,250.0,2660.0,16.3,494452,2026-07-02 11:51:51,578508.84
Lamborghini,Aventador,Lamborghini Aventador Roadster S,2017,Petrol,Automatic,6498.0,740.0,350.0,1575.0,16.9,521385,2026-07-02 11:51:43,610020.45
Rolls-Royce,Cullinan,Rolls-Royce Cullinan Cullinan,2025,Petrol,Automatic,6749.0,571.0,250.0,2700.0,15.0,542995,2026-07-02 11:51:35,635304.15
Rolls-Royce,Phantom,Rolls-Royce Phantom Phantom,2018,Petrol,Automatic,6749.0,571.0,250.0,2560.0,13.9,557980,2026-07-02 11:51:28,652836.6
McLaren,765Lt,McLaren 765LT Spider,2020,Petrol,Automatic,3994.0,765.0,330.0,1229.0,13.0,441000,2026-07-02 11:52:17,515970.0
Bentley,Mulsanne,Bentley Mulsanne Extended Wheelbase,2017,Petrol,Automatic,6752.0,512.0,296.0,2630.0,15.0,454499,2026-07-02 11:52:12,531763.83
Rolls-Royce,Dawn,Rolls-Royce Dawn Dawn,2016,Petrol,Automatic,6592.0,570.0,250.0,2460.0,14.2,462300,2026-07-02 11:52:07,540891.0
Rolls-Royce,Dawn,Rolls-Royce Dawn Black Badge,2016,Petrol,Automatic,6592.0,601.0,250.0,2460.0,14.7,462300,2026-07-02 11:52:06,540891.0
Ferrari,812,Ferrari 812 GTS,2020,Petrol,Automatic,6496.0,800.0,340.0,1600.0,14.9,472293,2026-07-02 11:52:00,552582.81
Lamborghini,Aventador,Lamborghini Aventador S,2017,Petrol,Automatic,6498.0,740.0,350.0,1575.0,16.9,482894,2026-07-02 11:51:57,564985.98
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 400 d,2018,Diesel,Automatic,3982.0,330.0,210.0,2389.0,9.6,229986,2026-07-02 12:07:14,269083.62
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG,2016,Petrol,Automatic,3982.0,585.0,250.0,1745.0,9.8,228809,2026-07-02 12:07:29,267706.53
BMW,X6,BMW X6 M Competition,2019,Petrol,Automatic,4395.0,625.0,250.0,2270.0,12.5,228162,2026-07-02 12:07:35,266949.54
Porsche,911,Porsche 911 GT3 Coupé,2015,Petrol,Automatic,3996.0,500.0,320.0,1413.0,12.9,227444,2026-07-02 12:07:45,266109.48
Land Rover,Range Rover,Land Rover Range Rover 5.0 V8 Supercharged Autobiography,2017,Petrol,Automatic,5000.0,525.0,225.0,2383.0,12.7,227341,2026-07-02 12:07:48,265988.97
Land Rover,Defender,Land Rover Defender 130 P425 X-Dynamic SE,2022,Petrol,Automatic,2996.0,425.0,191.0,2608.0,14.2,226943,2026-07-02 12:07:57,265523.31
Audi,A8,Audi A8 S8,2022,Petrol,Automatic,3996.0,571.0,250.0,2195.0,10.7,228430,2026-07-02 12:07:31,267263.1
Maserati,Levante,Maserati Levante Trofeo,2016,Petrol,Automatic,3799.0,580.0,300.0,2109.0,13.2,230549,2026-07-02 12:07:12,269742.33
Porsche,Cayenne,Porsche Cayenne Turbo E-Hybrid Coupé GT,2023,Hybrid,Automatic,2995.0,599.0,305.0,2470.0,,230765,2026-07-02 12:07:09,269995.05
Ferrari,Sf90,Ferrari SF90 Stradale,2020,Hybrid,Automatic,3990.0,780.0,340.0,1570.0,,454303,2026-07-02 11:52:13,531534.51
Lamborghini,Aventador,Lamborghini Aventador SVJ,2017,Petrol,Automatic,6498.0,770.0,350.0,1575.0,,563361,2026-07-02 11:51:26,659132.37
Ferrari,12Cilindri,Ferrari 12Cilindri Spider,2025,Petrol,Automatic,6496.0,830.0,340.0,1560.0,,549821,2026-07-02 11:51:32,643290.57
Ferrari,Sf90,Ferrari SF90 Spider Assetto Fiorano,2021,Hybrid,Automatic,3990.0,780.0,340.0,1530.0,,540498,2026-07-02 11:51:36,632382.66
Ferrari,12Cilindri,Ferrari 12Cilindri 12Cilindri,2025,Petrol,Automatic,6496.0,830.0,340.0,1560.0,,504478,2026-07-02 11:51:48,590239.26
Ferrari,Sf90,Ferrari SF90 Spider,2021,Hybrid,Automatic,3990.0,780.0,340.0,1570.0,,488408,2026-07-02 11:51:53,571437.36
Land Rover,Defender,Land Rover Defender 130 P425 X-Dynamic HSE,2022,Petrol,Automatic,2996.0,425.0,191.0,2608.0,14.2,234287,2026-07-02 12:06:21,274115.79
Lucid,Air,Lucid Air Sapphire,2022,Hybrid,Automatic,627.0,251.0,330.0,2375.0,,254916,2026-07-02 12:02:44,298251.72
Land Rover,Range Rover,Land Rover Range Rover P400 MHEV SVAutobiography LWB,2017,Petrol,Automatic,,400.0,225.0,2450.0,9.5,253411,2026-07-02 12:03:00,296490.87
Porsche,Panamera,Porsche Panamera Turbo S E-Hybrid Executive,2023,Hybrid,Automatic,2894.0,559.0,325.0,2435.0,,254870,2026-07-02 12:02:48,298197.9
Mercedes-Benz,Amg Gt 4 Door,Mercedes-Benz AMG GT 4-Door AMG GT 63 S E Performance,2018,Hybrid,Automatic,3982.0,639.0,316.0,2280.0,,251216,2026-07-02 12:03:26,293922.72
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 63 AMG E Performance Long,2020,Hybrid,Automatic,2999.0,612.0,290.0,2420.0,,253007,2026-07-02 12:03:02,296018.19
Land Rover,Range Rover,Land Rover Range Rover LWB P530 Autobiography,2022,Petrol,Automatic,4395.0,530.0,250.0,2708.0,11.7,279928,2026-07-02 11:59:35,327515.76
Mercedes-Benz,Gls,Mercedes-Benz GLS 580 4MATIC AMG Line,2023,Petrol,Automatic,3982.0,517.0,250.0,2540.0,13.6,240357,2026-07-02 12:05:09,281217.69
Land Rover,Range Rover,Land Rover Range Rover LWB P530 HSE,2022,Petrol,Automatic,4395.0,530.0,250.0,2626.0,11.6,259666,2026-07-02 12:02:10,303809.22
Land Rover,Defender,Land Rover Defender 90 P525 V8,2019,Petrol,Automatic,,525.0,240.0,2546.0,14.2,259133,2026-07-02 12:02:16,303185.61
Land Rover,Defender,Land Rover Defender 130 V8,2022,Petrol,Automatic,,500.0,240.0,2706.0,14.4,271149,2026-07-02 12:00:42,317244.33
Land Rover,Defender,Land Rover Defender 130 P425 X,2022,Petrol,Automatic,2996.0,425.0,191.0,2608.0,14.3,257141,2026-07-02 12:02:30,300854.97
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG S E Performance Night Edition,2022,Hybrid,Automatic,3982.0,612.0,317.0,2095.0,,275095,2026-07-02 12:00:16,321861.15
Land Rover,Defender,Land Rover Defender 110 P635 Octa,2019,Petrol,Automatic,4395.0,635.0,250.0,2585.0,13.1,286811,2026-07-02 11:58:53,335568.87
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 S E Performance Night Edition,2023,Hybrid,Automatic,3982.0,612.0,320.0,2020.0,,278767,2026-07-02 11:59:46,326157.39
Maserati,Grancabrio,Maserati GranCabrio Trofeo,2024,Petrol,Automatic,4691.0,550.0,316.0,1795.0,,278795,2026-07-02 11:59:43,326190.15
Land Rover,Defender,Land Rover Defender 110 P525 V8 Carpathia Edition,2019,Petrol,Automatic,,525.0,240.0,2415.0,14.4,239805,2026-07-02 12:05:15,280571.85
Maserati,Levante,Maserati Levante Launch Edition,2016,Petrol,Automatic,2979.0,580.0,300.0,2109.0,13.2,250649,2026-07-02 12:03:36,293259.33
Land Rover,Range Rover,Land Rover Range Rover LWB P530 SV,2022,Petrol,Automatic,4395.0,530.0,250.0,2626.0,11.8,296113,2026-07-02 11:58:05,346452.21
Land Rover,Defender,Land Rover Defender 90 P525 V8 Carpathia Edition,2019,Petrol,Automatic,,525.0,240.0,2546.0,14.2,234671,2026-07-02 12:06:14,274565.07
Land Rover,Range Rover,Land Rover Range Rover LWB D350 Autobiography,2022,Petrol,Automatic,2997.0,350.0,234.0,2569.0,7.6,234900,2026-07-02 12:06:10,274833.0
Land Rover,Range Rover,Land Rover Range Rover LWB P530 First Edition,2022,Petrol,Automatic,4395.0,530.0,250.0,2626.0,11.8,236077,2026-07-02 12:05:51,276210.09
Lamborghini,Aventador,Lamborghini Aventador Roadster SVJ,2017,Petrol,Automatic,6498.0,770.0,350.0,1575.0,,607205,2026-07-02 11:51:21,710429.85
Aston Martin,Vantage,Aston Martin Vantage 5.2 V12,2018,Petrol,Automatic,5204.0,700.0,322.0,1795.0,,382001,2026-07-02 11:53:15,446941.17
Ferrari,Gtc4,Ferrari GTC4 Lusso V12,2016,Petrol,Automatic,6262.0,690.0,335.0,1790.0,15.3,374276,2026-07-02 11:53:25,437902.92
Land Rover,Defender,Land Rover Defender 110 P425 X,2019,Petrol,Automatic,2996.0,425.0,191.0,2411.0,14.2,243833,2026-07-02 12:04:30,285284.61
Land Rover,Range Rover,Land Rover Range Rover LWB D350 First Edition,2022,Petrol,Automatic,2997.0,350.0,234.0,2569.0,8.1,243296,2026-07-02 12:04:39,284656.32
Porsche,Panamera,Porsche Panamera Turbo S E-Hybrid,2023,Hybrid,Automatic,2894.0,559.0,325.0,2340.0,,243370,2026-07-02 12:04:37,284742.9
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 S E Performance,2023,Hybrid,Automatic,3982.0,612.0,320.0,2020.0,,293892,2026-07-02 11:58:15,343853.64
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG S E Performance,2022,Hybrid,Automatic,3982.0,612.0,317.0,2095.0,,290220,2026-07-02 11:58:29,339557.4
Land Rover,Defender,Land Rover Defender 110 P635 Octa Edition One,2019,Petrol,Automatic,4395.0,635.0,250.0,2585.0,13.2,300208,2026-07-02 11:57:53,351243.36
Land Rover,Range Rover,Land Rover Range Rover LWB D350 SV,2022,Petrol,Automatic,2997.0,350.0,234.0,2569.0,8.2,288444,2026-07-02 11:58:42,337479.48
Lamborghini,Huracan,Lamborghini Huracán Evo Spyder 5.2 V10 RWD,2016,Petrol,Automatic,5204.0,610.0,325.0,1509.0,,302085,2026-07-02 11:57:40,353439.45
Land Rover,Defender,Land Rover Defender 110 P635 Octa Black,2019,Petrol,Automatic,4395.0,635.0,250.0,2585.0,13.1,302197,2026-07-02 11:57:38,353570.49
Bentley,Continental,Bentley Continental GTC 6.0 W12,2019,Petrol,Automatic,3996.0,635.0,333.0,2314.0,,298593,2026-07-02 11:57:59,349353.81
Mercedes-Benz,Sl,Mercedes-Benz SL 680 Maybach Monogram Series,2022,Petrol,Automatic,5980.0,585.0,260.0,1950.0,13.6,369794,2026-07-02 11:53:38,432658.98
Lamborghini,Huracan,Lamborghini Huracán Evo Spyder 5.2 V10,2016,Petrol,Automatic,5204.0,639.0,325.0,1542.0,,336087,2026-07-02 11:55:04,393221.79
Aston Martin,Db12,Aston Martin DB12 4.0 V8 Coupé,2024,Petrol,Automatic,3982.0,689.0,325.0,1685.0,,309807,2026-07-02 11:56:59,362474.19
Ferrari,Sf90,Ferrari SF90 XX Spider,2021,Hybrid,Automatic,3990.0,797.0,320.0,1660.0,,874687,2026-07-02 11:51:00,1023383.79
BMW,5 Series,BMW 5-Series M5 CS,2020,Petrol,Automatic,4395.0,635.0,305.0,1800.0,11.0,226760,2026-07-02 12:08:06,265309.2
Land Rover,Defender,Land Rover Defender 110 P525 V8,2019,Petrol,Automatic,,525.0,240.0,2415.0,14.4,232255,2026-07-02 12:06:55,271738.35
Land Rover,Range Rover,Land Rover Range Rover LWB P615 SV Black,2022,Petrol,Automatic,4395.0,615.0,261.0,2801.0,11.8,365860,2026-07-02 11:53:44,428056.2
Land Rover,Range Rover,Land Rover Range Rover LWB P615 SV,2022,Petrol,Automatic,4395.0,615.0,261.0,2801.0,11.8,352344,2026-07-02 11:54:21,412242.48
Aston Martin,Vantage,Aston Martin Vantage Roadster 5.2 V12,2018,Petrol,Automatic,5204.0,700.0,322.0,1855.0,,432140,2026-07-02 11:52:25,505603.8
Land Rover,Defender,Land Rover Defender 90 P425 X,2019,Petrol,Automatic,2996.0,425.0,191.0,2300.0,9.6,237683,2026-07-02 12:05:30,278089.11
McLaren,675Lt,McLaren 675LT 675LT,2015,Petrol,Automatic,3799.0,675.0,330.0,1230.0,11.7,387750,2026-07-02 11:53:07,453667.5
Ferrari,Sf90,Ferrari SF90 XX Stradale,2020,Hybrid,Automatic,3990.0,797.0,320.0,1560.0,,795342,2026-07-02 11:51:02,930550.14
McLaren,Artura,McLaren Artura Artura,2022,Petrol,Automatic,2993.0,605.0,330.0,1398.0,,263100,2026-07-02 12:01:49,307827.0
Porsche,Taycan,Porsche Taycan Turbo GT Weissach Pack,2024,Hybrid,Automatic,,789.0,305.0,2195.0,,248744,2026-07-02 12:03:53,291030.48
Porsche,Taycan,Porsche Taycan Turbo GT,2024,Hybrid,Automatic,,789.0,290.0,2265.0,,248744,2026-07-02 12:03:55,291030.48
Land Rover,Range Rover,Land Rover Range Rover LWB P460e SV,2022,Hybrid,Automatic,2996.0,400.0,225.0,2810.0,,235149,2026-07-02 12:06:02,275124.33
McLaren,Artura,McLaren Artura Spider,2024,Petrol,Automatic,2993.0,605.0,330.0,1460.0,,292400,2026-07-02 11:58:22,342108.0
Rolls-Royce,Spectre,Rolls-Royce Spectre Spectre,2024,Electric,Automatic,,632.0,250.0,2335.0,,396275,2026-07-02 11:52:56,463641.75
